timestamp_ms,memory_used_mib,memory_total_mib,utilization_gpu_pct,power_draw_w,temperature_gpu_c
1779365679717,955, 16376, 0, 11.57, 35
1779365681747,955, 16376, 0, 11.40, 35
1779365683784,955, 16376, 0, 11.44, 34
1779365685823,955, 16376, 0, 11.54, 34
1779365687861,955, 16376, 0, 11.42, 34
1779365689897,955, 16376, 0, 11.69, 34
1779365691935,955, 16376, 0, 11.52, 34
1779365693973,955, 16376, 0, 11.59, 34
1779365696008,955, 16376, 0, 11.60, 34
1779365698044,955, 16376, 0, 11.41, 34
1779365700082,955, 16376, 0, 11.57, 34
1779365702118,955, 16376, 0, 11.55, 34
1779365704154,955, 16376, 0, 11.54, 34
1779365706191,955, 16376, 0, 12.04, 33
1779365708229,955, 16376, 0, 11.43, 33
1779365710263,955, 16376, 0, 11.54, 33
1779365712300,955, 16376, 0, 11.53, 33
1779365714336,955, 16376, 0, 11.39, 33
1779365716374,955, 16376, 0, 11.57, 33
1779365718409,955, 16376, 0, 11.45, 33
1779365720447,955, 16376, 0, 11.46, 33
1779365722483,955, 16376, 0, 11.47, 33
1779365724518,955, 16376, 0, 11.46, 33
1779365726553,955, 16376, 0, 11.27, 33
1779365728589,955, 16376, 0, 11.15, 33
1779365730625,955, 16376, 0, 11.14, 33
1779365732662,955, 16376, 0, 11.15, 33
1779365734697,955, 16376, 0, 11.13, 33
1779365736734,955, 16376, 0, 11.14, 33
1779365738769,955, 16376, 0, 11.13, 33
1779365740809,955, 16376, 0, 11.19, 33
1779365742846,955, 16376, 0, 11.34, 33
1779365744883,955, 16376, 0, 11.14, 33
1779365746921,955, 16376, 0, 11.11, 33
1779365748957,955, 16376, 0, 11.12, 33
1779365750997,955, 16376, 0, 11.12, 33
1779365753032,955, 16376, 0, 11.12, 33
1779365755071,955, 16376, 0, 11.12, 33
1779365757106,955, 16376, 0, 11.12, 33
1779365759142,955, 16376, 0, 11.12, 33
1779365761179,955, 16376, 0, 11.12, 33
1779365763216,955, 16376, 0, 11.16, 33
1779365765254,955, 16376, 0, 11.14, 33
1779365767290,955, 16376, 0, 11.15, 33
1779365769326,955, 16376, 0, 11.17, 33
1779365771363,955, 16376, 0, 11.13, 33
1779365773401,955, 16376, 0, 11.18, 33
1779365775443,955, 16376, 0, 11.18, 33
1779365777489,955, 16376, 0, 11.25, 33
1779365779526,955, 16376, 0, 11.44, 33
1779365781563,955, 16376, 0, 11.13, 33
1779365783601,955, 16376, 0, 11.11, 33
1779365785639,955, 16376, 0, 11.12, 33
1779365787676,955, 16376, 0, 11.11, 33
1779365789714,955, 16376, 0, 11.12, 33
1779365791752,955, 16376, 0, 11.11, 33
1779365793788,970, 16376, 0, 11.12, 33
1779365795851,1182, 16376, 0, 11.12, 33
1779365797888,1182, 16376, 0, 11.12, 33
1779365799925,1182, 16376, 0, 11.15, 33
1779365801962,1182, 16376, 0, 11.13, 33
1779365804001,5294, 16376, 47, 29.58, 35
1779365806033,5326, 16376, 0, 44.40, 34
1779365808065,5518, 16376, 0, 11.14, 34
1779365810098,5710, 16376, 0, 11.13, 34
1779365812131,5774, 16376, 0, 11.13, 34
1779365814166,5774, 16376, 0, 11.24, 34
1779365816200,5806, 16376, 0, 11.29, 34
1779365818231,5998, 16376, 14, 11.13, 34
1779365820266,6190, 16376, 0, 11.12, 34
1779365822303,6254, 16376, 0, 11.12, 34
1779365824344,6414, 16376, 0, 11.11, 34
1779365826380,6510, 16376, 5, 11.12, 34
1779365828415,6510, 16376, 0, 11.12, 34
1779365830446,6542, 16376, 0, 11.12, 34
1779365832480,6734, 16376, 0, 11.13, 34
1779365834512,6926, 16376, 0, 11.14, 34
1779365836547,7118, 16376, 0, 11.17, 34
1779365838581,7150, 16376, 0, 11.14, 34
1779365840615,7214, 16376, 0, 11.17, 34
1779365842648,7214, 16376, 0, 11.17, 34
1779365844676,7406, 16376, 0, 11.13, 34
1779365846711,7470, 16376, 0, 11.17, 34
1779365848746,7662, 16376, 0, 11.14, 34
1779365850780,7854, 16376, 0, 11.27, 34
1779365852815,7886, 16376, 0, 11.29, 34
1779365854849,7918, 16376, 1, 11.14, 34
1779365856878,7950, 16376, 0, 11.12, 34
1779365858909,8142, 16376, 0, 11.12, 34
1779365860946,8334, 16376, 0, 11.11, 34
1779365862980,8398, 16376, 0, 11.12, 34
1779365865015,8590, 16376, 0, 11.12, 34
1779365867051,8622, 16376, 0, 11.13, 34
1779365869085,8654, 16376, 0, 11.12, 34
1779365871114,8686, 16376, 9, 11.12, 34
1779365873147,8878, 16376, 0, 11.15, 34
1779365875182,9070, 16376, 0, 11.14, 34
1779365877216,9262, 16376, 50, 11.15, 34
1779365879249,9326, 16376, 0, 11.16, 34
1779365881282,9358, 16376, 0, 11.12, 34
1779365883314,9358, 16376, 0, 11.15, 34
1779365885343,9550, 16376, 0, 11.15, 34
1779365887375,9614, 16376, 0, 11.21, 34
1779365889407,9806, 16376, 0, 11.35, 34
1779365891441,9998, 16376, 0, 11.14, 34
1779365893475,10062, 16376, 0, 11.11, 34
1779365895510,10062, 16376, 0, 11.11, 34
1779365897540,10094, 16376, 0, 11.11, 34
1779365899571,10286, 16376, 0, 11.12, 34
1779365901604,10478, 16376, 0, 11.11, 34
1779365903639,10670, 16376, 0, 11.12, 34
1779365905674,10734, 16376, 0, 11.12, 34
1779365907708,10766, 16376, 0, 11.11, 34
1779365909743,10766, 16376, 0, 11.15, 34
1779365911773,10830, 16376, 0, 11.13, 34
1779365913809,12576, 16376, 100, 169.87, 52
1779365915841,15488, 16376, 100, 135.22, 51
1779365917872,15488, 16376, 100, 195.62, 51
1779365919901,15488, 16376, 100, 202.03, 44
1779365921931,15488, 16376, 61, 196.50, 53
1779365923962,15488, 16376, 100, 209.45, 54
1779365925994,15488, 16376, 82, 207.75, 54
1779365928026,15488, 16376, 51, 210.15, 54
1779365930064,15520, 16376, 3, 202.52, 55
1779365932095,15488, 16376, 78, 205.33, 54
1779365934123,15488, 16376, 100, 219.76, 46
1779365936150,15872, 16376, 3, 52.74, 39
