phase,count,sum_ms,p50_ms,p95_ms,max_ms
ffn_total,3096,45772.853,2.301,3.757,3057.746
ffn_deepep_dispatch_combine,3096,43848.02,1.75,2.709,3056.841
ffn_deepep_dispatch,3096,21888.585,0.0905,0.407,1825.901
ffn_deepep_combine,3096,18551.316,0.5925,1.427,1711.344
ffn_deepep_combine_exchange,3096,18304.151,0.498,1.303,1711.169
attn_total,3096,16630.126,1.346,6.911,2545.016
attn_core,3096,15559.959,1.086,4.887,2543.927
attn_swa_all_reduce,144,11277.018,0.19,233.519,2543.101
ffn_deepep_local_experts,3096,1114.902,0.458,0.923,1.968
ffn_shared,3096,924.772,0.268,0.573,1.807
attn_compressor_update,2952,855.293,0.096,1.557,8.262
attn_all_reduce,2952,731.626,0.196,0.581,3.743
attn_proj,3096,677.042,0.127,0.418,5.497
attn_hybrid_kernel,2952,593.37,0.19,0.274,1.821
ffn_deepep_count_exchange,3096,533.56,0.132,0.415,1.483
ffn_deepep_route_select,3096,470.02,0.149,0.16,6.244
attn_indexer_update,1512,380.449,0.082,1.377,4.941
attn_mhc,3096,364.961,0.09,0.199,2.63
ffn_mhc,3096,304.798,0.088,0.158,0.409
attn_csa_select_kernel,1512,299.707,0.208,0.231,1.181
ffn_deepep_route_logits,3096,270.956,0.025,0.07,24.713
attn_pre_norm,3096,228.062,0.044,0.148,4.959
attn_output_proj,2952,215.923,0.066,0.092,1.032
attn_csa_project,1512,174.186,0.068,0.229,3.52
attn_prepare_qk,2952,150.666,0.033,0.106,2.494
ffn_pre_norm,3096,142.807,0.035,0.108,0.412
ffn_post,3096,138.957,0.033,0.103,0.367
ffn_deepep_route_setup,3096,135.576,0.011,0.291,0.739
ffn_deepep_pack_by_rank,3096,123.029,0.03,0.087,0.328
attn_post,3096,120.001,0.027,0.092,0.444
ffn_deepep_count_by_rank,3096,90.222,0.023,0.062,0.534
ffn_deepep_combine_kernel,3096,63.164,0.016,0.039,0.408
attn_window_update,2952,42.459,0.012,0.025,0.533
attn_window_alloc,2952,26.933,0.004,0.024,0.83
attn_swa_kernel,144,18.604,0.123,0.167,0.357
attn_swa_output_proj,144,11.744,0.067,0.135,0.351
attn_swa_prepare_qk,144,9.322,0.041,0.253,0.498
attn_swa_window_update,144,2.086,0.012,0.026,0.042
attn_swa_window_alloc,144,1.135,0.004,0.026,0.043
